Designator,Mid X,Mid Y,Rotation,Layer
C1,135.1775,-58.9675,0.0,bottom
C2,159.705,-52.705,180.0,bottom
C3,159.705,-55.88,180.0,bottom
C4,152.715,-52.705,180.0,bottom
C5,152.715,-55.88,180.0,bottom
D1,157.1775,-43.18,180.0,bottom
D2,157.1775,-38.1,180.0,bottom
D3,127.635,-53.975,180.0,bottom
D4,151.13,-59.69,0.0,bottom
J1,165.155001,-43.1,90.0,top
J2,144.805,-39.75,0.0,top
R1,135.255,-52.705,180.0,bottom
R2,135.1775,-55.7925,180.0,bottom
R3,141.285,-52.705,0.0,bottom
R4,141.285,-55.88,180.0,bottom
R5,146.685,-55.88,180.0,bottom
R6,146.685,-52.705,180.0,bottom
U1,143.825,-65.0475,180.0,bottom
U2,158.115,-62.865,0.0,bottom
U3,114.935,-42.545,0.0,top
U4,139.7,-71.12,0.0,top
